Unnamed: 0,CampaignId,TimePeriod,Revenue,Spend,Clicks,Impressions,Conversions,CampaignType,DailyBudget,CampaignName
2221,570837622,2026-03-08,0.0,0.0,0,19,0.0,PerformanceMax,10.0,Pmax_NTM_Campaign_16
2115,570837620,2026-03-08,0.0,20.33,21,2431,0.0,PerformanceMax,20.0,Pmax_NTM_Campaign_14
1837,570837616,2026-03-08,0.0,0.0,0,0,0.0,PerformanceMax,20.0,Pmax_NTM_Campaign_10
1602,570837612,2026-03-08,0.0,20.37,12,1354,0.0,PerformanceMax,20.0,Pmax_NTM_Campaign_06
2034,570837619,2026-03-08,0.0,0.0,0,1,0.0,PerformanceMax,10.0,Pmax_NTM_Campaign_13
2773,570837632,2026-03-08,0.0,0.15,3,18,0.0,Search,10.0,Search_TM_Campaign_06
1890,570837617,2026-03-08,0.0,0.0,0,7,0.0,PerformanceMax,10.0,Pmax_NTM_Campaign_11
1656,570837613,2026-03-08,0.0,0.0,0,28,0.0,PerformanceMax,10.0,Pmax_NTM_Campaign_07
2791,570837633,2026-03-08,0.0,0.0,0,82,0.0,Shopping,10.0,Shopping_NTM_Campaign_01
2611,570837628,2026-03-08,0.0,0.33,2,18,0.0,Search,20.0,Search_NTM_Campaign_01
1107,570837607,2026-03-08,0.0,20.18,34,3969,0.0,PerformanceMax,10.0,Pmax_NTM_Campaign_01
1248,570837608,2026-03-08,0.0,0.0,0,13,0.0,PerformanceMax,10.0,Pmax_NTM_Campaign_02
1783,570837615,2026-03-08,0.0,20.44,16,1934,0.0,PerformanceMax,20.0,Pmax_NTM_Campaign_09
2420,570837625,2026-03-08,0.0,0.0,0,0,0.0,PerformanceMax,10.0,Pmax_NTM_Campaign_19
2366,570837624,2026-03-08,0.0,20.73,28,2414,0.0,PerformanceMax,20.0,Pmax_NTM_Campaign_18
1729,570837614,2026-03-08,0.0,0.0,0,29,0.0,PerformanceMax,20.0,Pmax_NTM_Campaign_08
1526,570837611,2026-03-08,0.0,0.0,0,12,0.0,PerformanceMax,10.0,Pmax_NTM_Campaign_05
1454,570837610,2026-03-08,0.0,0.76,6,97,0.0,PerformanceMax,10.0,Pmax_NTM_Campaign_04
1321,570837609,2026-03-08,0.0,0.0,0,17,0.0,PerformanceMax,20.0,Pmax_NTM_Campaign_03
1961,570837618,2026-03-08,0.0,0.0,0,2,0.0,PerformanceMax,10.0,Pmax_NTM_Campaign_12
2684,570837630,2026-03-08,0.0,5.34,1,474,0.0,Audience,20.0,Demand Gen_NTM_Campaign_01
2290,570837623,2026-03-08,0.0,0.0,0,32,0.0,PerformanceMax,10.0,Pmax_NTM_Campaign_17
2169,570837621,2026-03-08,0.0,20.55,18,1467,0.0,PerformanceMax,20.0,Pmax_NTM_Campaign_15
2719,570837631,2026-03-08,0.0,4.01,5,345,0.0,Audience,20.0,Demand Gen_NTM_Campaign_02
1730,570837614,2026-03-09,0.0,0.0,0,36,0.0,PerformanceMax,20.0,Pmax_NTM_Campaign_08
2170,570837621,2026-03-09,0.0,22.29,23,4725,0.0,PerformanceMax,20.0,Pmax_NTM_Campaign_15
1108,570837607,2026-03-09,0.0,20.57,25,4945,0.0,PerformanceMax,10.0,Pmax_NTM_Campaign_01
1891,570837617,2026-03-09,0.0,0.0,0,3,0.0,PerformanceMax,10.0,Pmax_NTM_Campaign_11
1838,570837616,2026-03-09,0.0,0.0,0,16,0.0,PerformanceMax,20.0,Pmax_NTM_Campaign_10
2222,570837622,2026-03-09,0.0,0.0,0,18,0.0,PerformanceMax,10.0,Pmax_NTM_Campaign_16
1249,570837608,2026-03-09,0.0,0.0,0,13,0.0,PerformanceMax,10.0,Pmax_NTM_Campaign_02
2421,570837625,2026-03-09,0.0,0.0,0,0,0.0,PerformanceMax,10.0,Pmax_NTM_Campaign_19
2367,570837624,2026-03-09,0.0,20.71,31,4015,0.0,PerformanceMax,20.0,Pmax_NTM_Campaign_18
1322,570837609,2026-03-09,0.0,0.0,0,223,0.0,PerformanceMax,20.0,Pmax_NTM_Campaign_03
1962,570837618,2026-03-09,0.0,0.0,0,3,0.0,PerformanceMax,10.0,Pmax_NTM_Campaign_12
2291,570837623,2026-03-09,0.0,0.0,0,38,0.0,PerformanceMax,10.0,Pmax_NTM_Campaign_17
1784,570837615,2026-03-09,0.0,20.56,17,4250,0.0,PerformanceMax,20.0,Pmax_NTM_Campaign_09
2116,570837620,2026-03-09,0.0,20.12,16,3069,0.0,PerformanceMax,20.0,Pmax_NTM_Campaign_14
2612,570837628,2026-03-09,0.0,0.07,1,19,0.0,Search,20.0,Search_NTM_Campaign_01
1603,570837612,2026-03-09,0.0,20.45,17,2475,0.0,PerformanceMax,20.0,Pmax_NTM_Campaign_06
2792,570837633,2026-03-09,0.0,0.13,2,195,0.0,Shopping,10.0,Shopping_NTM_Campaign_01
2774,570837632,2026-03-09,0.0,0.15,3,10,0.0,Search,10.0,Search_TM_Campaign_06
1455,570837610,2026-03-09,0.0,0.07,1,59,0.0,PerformanceMax,10.0,Pmax_NTM_Campaign_04
1527,570837611,2026-03-09,0.0,0.0,0,48,0.0,PerformanceMax,10.0,Pmax_NTM_Campaign_05
2720,570837631,2026-03-09,0.0,17.32,26,4548,0.0,Audience,20.0,Demand Gen_NTM_Campaign_02
2035,570837619,2026-03-09,0.0,2.82,5,123,0.0,PerformanceMax,10.0,Pmax_NTM_Campaign_13
2685,570837630,2026-03-09,0.0,8.57,2,719,0.0,Audience,20.0,Demand Gen_NTM_Campaign_01
1657,570837613,2026-03-09,0.0,0.0,0,10,0.0,PerformanceMax,10.0,Pmax_NTM_Campaign_07
1109,570837607,2026-03-10,0.0,20.64,28,3514,0.0,PerformanceMax,10.0,Pmax_NTM_Campaign_01
2036,570837619,2026-03-10,0.0,1.31,6,56,0.0,PerformanceMax,10.0,Pmax_NTM_Campaign_13
2793,570837633,2026-03-10,0.0,0.17,4,244,0.0,Shopping,10.0,Shopping_NTM_Campaign_01
1658,570837613,2026-03-10,0.0,0.0,0,5,0.0,PerformanceMax,10.0,Pmax_NTM_Campaign_07
2368,570837624,2026-03-10,0.0,0.0,0,76,0.0,PerformanceMax,20.0,Pmax_NTM_Campaign_18
2223,570837622,2026-03-10,0.0,0.0,0,35,0.0,PerformanceMax,10.0,Pmax_NTM_Campaign_16
2422,570837625,2026-03-10,0.0,0.0,0,3,0.0,PerformanceMax,10.0,Pmax_NTM_Campaign_19
