Unnamed: 0,campaign_id,segments_date,metrics_clicks,metrics_conversions,metrics_cost_micros,metrics_impressions,metrics_video_views,metrics_conversions_value,campaign_advertising_channel_type,campaign_budget_amount,campaign_name
785,9988712287,2026-03-07,17,0.0,10981691,144,0,0.0,SEARCH,90.0,Search_TM_Campaign_01
8544,21587818996,2026-03-07,858,0.0,28430928,22921,0,0.0,SEARCH,15.0,Search_NTM_Campaign_03
13442,21802413978,2026-03-07,279,1.164143,103505220,41363,22,45.75551392,PERFORMANCE_MAX,10.0,Pmax_NTM_Campaign_01
5175,21551974931,2026-03-07,71,3.0,2990672,10477,2,117.58,PERFORMANCE_MAX,50.0,Pmax_NTM_Campaign_14
12371,21794370952,2026-03-07,30,0.0,2527654,1396,5,0.0,PERFORMANCE_MAX,49.0,Pmax_NTM_Campaign_09
7915,21577977814,2026-03-07,101,2.0,7465757,762,0,941.21,SEARCH,60.0,Search_TM_Campaign_03
16013,22496284541,2026-03-07,44,0.0,26867985,1971,26,0.0,PERFORMANCE_MAX,40.0,Pmax_NTM_Campaign_34
5805,21555598453,2026-03-07,377,16.177560999999997,43153849,22281,1,1171.90035857,PERFORMANCE_MAX,30.0,Pmax_NTM_Campaign_15
7265,21567626631,2026-03-07,4,0.0,1690000,53,0,0.0,SEARCH,50.0,Search_TM_Campaign_02
18941,23259820296,2026-03-07,109,0.0,10932138,2362,0,0.0,PERFORMANCE_MAX,15.0,Pmax_NTM_Campaign_33
4166,21263646438,2026-03-07,760,4.015058,556606199,74186,8319,646.25642002,PERFORMANCE_MAX,25.0,Pmax_NTM_Campaign_12
15358,22211017654,2026-03-07,125,0.0,13452716,3956,11,0.0,PERFORMANCE_MAX,15.0,Pmax_NTM_Campaign_27
18650,23121755418,2026-03-07,1118,11.460212,590314919,47641,131,2041.5285492,PERFORMANCE_MAX,15.0,Pmax_NTM_Campaign_31
16863,22645714681,2026-03-07,633,12.977968,219985838,103335,0,1519.35668511,PERFORMANCE_MAX,100.0,Pmax_NTM_Campaign_37
1746,18253990962,2026-03-07,849,11.060021,330325936,159718,10,1499.87324165,PERFORMANCE_MAX,25.0,Pmax_NTM_Campaign_10
18123,22946407106,2026-03-07,62,2.0,4850000,33910,0,524.6700000000001,SHOPPING,140.0,Shopping_NTM_Campaign_01
9505,21663737223,2026-03-07,938,8.574973,500791662,74802,29,647.34608416,PERFORMANCE_MAX,25.0,Pmax_NTM_Campaign_19
17904,22866636855,2026-03-07,847,21.902753,471006981,6698,0,3422.32899191,SEARCH,100.0,Search_TM_Campaign_04
6443,21560212684,2026-03-07,29,0.0,7829930,524,1,0.0,PERFORMANCE_MAX,35.0,Pmax_NTM_Campaign_16
18651,23121755418,2026-03-08,614,2.987566,371883003,30775,52,239.76499269,PERFORMANCE_MAX,15.0,Pmax_NTM_Campaign_31
4167,21263646438,2026-03-08,315,4.333333,317353833,35475,9,888.70654543,PERFORMANCE_MAX,25.0,Pmax_NTM_Campaign_12
13443,21802413978,2026-03-08,256,4.015561,112394488,34953,27,186.97450715,PERFORMANCE_MAX,10.0,Pmax_NTM_Campaign_01
7916,21577977814,2026-03-08,132,1.0,11819119,849,0,48.87,SEARCH,60.0,Search_TM_Campaign_03
5806,21555598453,2026-03-08,455,24.297345,80132506,30414,0,1613.66010373,PERFORMANCE_MAX,30.0,Pmax_NTM_Campaign_15
6444,21560212684,2026-03-08,27,0.0,11934869,855,3,0.0,PERFORMANCE_MAX,35.0,Pmax_NTM_Campaign_16
17905,22866636855,2026-03-08,757,13.5,620616071,5747,0,781.45,SEARCH,100.0,Search_TM_Campaign_04
15359,22211017654,2026-03-08,241,1.0,34032788,5240,19,63.93,PERFORMANCE_MAX,15.0,Pmax_NTM_Campaign_27
1747,18253990962,2026-03-08,612,9.701757,331773657,116410,0,1181.812265,PERFORMANCE_MAX,25.0,Pmax_NTM_Campaign_10
16864,22645714681,2026-03-08,360,4.0,215410728,60118,1,197.78,PERFORMANCE_MAX,100.0,Pmax_NTM_Campaign_37
8545,21587818996,2026-03-08,870,4.543484,38614072,13851,0,246.164431,SEARCH,15.0,Search_NTM_Campaign_03
18124,22946407106,2026-03-08,117,2.0,15370000,48182,0,125.04,SHOPPING,140.0,Shopping_NTM_Campaign_01
16014,22496284541,2026-03-08,56,0.0,24513399,3279,29,0.0,PERFORMANCE_MAX,40.0,Pmax_NTM_Campaign_34
786,9988712287,2026-03-08,148,0.0,43554456,806,0,0.0,SEARCH,90.0,Search_TM_Campaign_01
5176,21551974931,2026-03-08,100,1.5,9618777,10822,4,72.255,PERFORMANCE_MAX,50.0,Pmax_NTM_Campaign_14
18942,23259820296,2026-03-08,121,0.0,16048187,3323,0,0.0,PERFORMANCE_MAX,15.0,Pmax_NTM_Campaign_33
7266,21567626631,2026-03-08,37,1.0,8937584,163,0,1450.0,SEARCH,50.0,Search_TM_Campaign_02
12372,21794370952,2026-03-08,26,2.0,5519422,3916,11,128.0,PERFORMANCE_MAX,49.0,Pmax_NTM_Campaign_09
9506,21663737223,2026-03-08,482,10.632019,423731090,44647,14,744.34555505,PERFORMANCE_MAX,25.0,Pmax_NTM_Campaign_19
13444,21802413978,2026-03-09,202,1.2,102468063,23066,21,82.068,PERFORMANCE_MAX,10.0,Pmax_NTM_Campaign_01
7917,21577977814,2026-03-09,120,0.0,21583601,694,0,0.0,SEARCH,60.0,Search_TM_Campaign_03
5177,21551974931,2026-03-09,83,3.0,15232928,9006,3,245.26,PERFORMANCE_MAX,50.0,Pmax_NTM_Campaign_14
18943,23259820296,2026-03-09,77,0.0,10041249,1756,0,0.0,PERFORMANCE_MAX,15.0,Pmax_NTM_Campaign_33
8546,21587818996,2026-03-09,1571,2.0163960000000003,40020491,8403,0,188.7998,SEARCH,15.0,Search_NTM_Campaign_03
5807,21555598453,2026-03-09,421,10.393799,121309823,31980,0,1045.71903428,PERFORMANCE_MAX,30.0,Pmax_NTM_Campaign_15
4168,21263646438,2026-03-09,298,10.028969,288816171,27769,279,1911.70255336,PERFORMANCE_MAX,25.0,Pmax_NTM_Campaign_12
17906,22866636855,2026-03-09,664,12.0,518166888,2775,0,1102.96,SEARCH,100.0,Search_TM_Campaign_04
7267,21567626631,2026-03-09,48,0.0,7690004,388,0,0.0,SEARCH,50.0,Search_TM_Campaign_02
16015,22496284541,2026-03-09,45,0.0,20903433,3166,32,0.0,PERFORMANCE_MAX,40.0,Pmax_NTM_Campaign_34
18125,22946407106,2026-03-09,142,2.037876,42860000,32132,0,218.393536,SHOPPING,140.0,Shopping_NTM_Campaign_01
16865,22645714681,2026-03-09,330,8.166666,190052040,50384,0,1341.75658836,PERFORMANCE_MAX,100.0,Pmax_NTM_Campaign_37
